Enquête châtaignier IDF 2022 - Pôle Nord-Ouest;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thierry BELOUARD - Tue, 26 Jul 22 09:50:20 +0200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
code_placette;code_referentiel;longc;latc;xlam;ylam;x93;y93;code_ifn;qd;code_propriete;code_peuplement;code_ess_dom;nomforet;nature_placette;strategie;codeinsee;lib_codeinsee;releve_gps;observation;indrep;placette;campagne;dsf;lib_dsf;etat;date_obs;annee;actif;indautrep;codeco1;lib_codeco1;arbre;ESSENCEDSF___ARBRE;lib_ESSENCEDSF___ARBRE;MORBRA2___ARBRE;lib_MORBRA2___ARBRE;PERRAM2___ARBRE;lib_PERRAM2___ARBRE;DEPAB___ARBRE;lib_DEPAB___ARBRE;plac;G___PLAC;DMAXA___PLAC;REMARQUES___PLAC;RECOUV_SUP___PLAC;lib_RECOUV_SUP___PLAC;RECOUV_INF___PLAC;lib_RECOUV_INF___PLAC;EC5_UUID___PLAC;PEUP_RUIN___PLAC;lib_PEUP_RUIN___PLAC;PREC_LOC
195;LAM93;2,23268;48,5165;592326;2390870;643332;6824310;;;;;;;P;;91132;CHAMARANDE;;67871;932636;39921;1535;O;Pôle Nord-Ouest;V;27/06/2022;2022;actif;932635;78S01;BELOUARD Thierry;1;180;Châtaignier;0;Absence ou trace;2;Modérée;C;C;1;36;13;Pente, gros blocs de pierre, même placette qu'en 2020.;5;Recouvrement supérieur à 75%;5;Recouvrement supérieur à 75%;;NON;NON;
195;LAM93;2,23268;48,5165;592326;2390870;643332;6824310;;;;;;;P;;91132;CHAMARANDE;;67871;932637;39921;1535;O;Pôle Nord-Ouest;V;27/06/2022;2022;actif;932635;78S01;BELOUARD Thierry;2;180;Châtaignier;0;Absence ou trace;3;Forte;D;D;1;36;13;Pente, gros blocs de pierre, même placette qu'en 2020.;5;Recouvrement supérieur à 75%;5;Recouvrement supérieur à 75%;;NON;NON;
195;LAM93;2,23268;48,5165;592326;2390870;643332;6824310;;;;;;;P;;91132;CHAMARANDE;;67871;932638;39921;1535;O;Pôle Nord-Ouest;V;27/06/2022;2022;actif;932635;78S01;BELOUARD Thierry;3;180;Châtaignier;1;Faible;4;Très forte;E;E;1;36;13;Pente, gros blocs de pierre, même placette qu'en 2020.;5;Recouvrement supérieur à 75%;5;Recouvrement supérieur à 75%;;NON;NON;
195;LAM93;2,23268;48,5165;592326;2390870;643332;6824310;;;;;;;P;;91132;CHAMARANDE;;67871;932639;39921;1535;O;Pôle Nord-Ouest;V;27/06/2022;2022;actif;932635;78S01;BELOUARD Thierry;4;180;Châtaignier;5;Totale;0;Absence ou trace;F;F;1;36;13;Pente, gros blocs de pierre, même placette qu'en 2020.;5;Recouvrement supérieur à 75%;5;Recouvrement supérieur à 75%;;NON;NON;
195;LAM93;2,23268;48,5165;592326;2390870;643332;6824310;;;;;;;P;;91132;CHAMARANDE;;67871;932640;39921;1535;O;Pôle Nord-Ouest;V;27/06/2022;2022;actif;932635;78S01;BELOUARD Thierry;5;180;Châtaignier;5;Totale;0;Absence ou trace;F;F;1;36;13;Pente, gros blocs de pierre, même placette qu'en 2020.;5;Recouvrement supérieur à 75%;5;Recouvrement supérieur à 75%;;NON;NON;
195;LAM93;2,23268;48,5165;592326;2390870;643332;6824310;;;;;;;P;;91132;CHAMARANDE;;67871;932641;39921;1535;O;Pôle Nord-Ouest;V;27/06/2022;2022;actif;932635;78S01;BELOUARD Thierry;6;180;Châtaignier;1;Faible;2;Modérée;C;C;1;36;13;Pente, gros blocs de pierre, même placette qu'en 2020.;5;Recouvrement supérieur à 75%;5;Recouvrement supérieur à 75%;;NON;NON;
195;LAM93;2,23268;48,5165;592326;2390870;643332;6824310;;;;;;;P;;91132;CHAMARANDE;;67871;932642;39921;1535;O;Pôle Nord-Ouest;V;27/06/2022;2022;actif;932635;78S01;BELOUARD Thierry;7;180;Châtaignier;0;Absence ou trace;1;Faible;B;B;1;36;13;Pente, gros blocs de pierre, même placette qu'en 2020.;5;Recouvrement supérieur à 75%;5;Recouvrement supérieur à 75%;;NON;NON;
195;LAM93;2,23268;48,5165;592326;2390870;643332;6824310;;;;;;;P;;91132;CHAMARANDE;;67871;932643;39921;1535;O;Pôle Nord-Ouest;V;27/06/2022;2022;actif;932635;78S01;BELOUARD Thierry;8;180;Châtaignier;0;Absence ou trace;2;Modérée;C;C;1;36;13;Pente, gros blocs de pierre, même placette qu'en 2020.;5;Recouvrement supérieur à 75%;5;Recouvrement supérieur à 75%;;NON;NON;
195;LAM93;2,23268;48,5165;592326;2390870;643332;6824310;;;;;;;P;;91132;CHAMARANDE;;67871;932644;39921;1535;O;Pôle Nord-Ouest;V;27/06/2022;2022;actif;932635;78S01;BELOUARD Thierry;9;180;Châtaignier;2;Modérée;1;Faible;C;C;1;36;13;Pente, gros blocs de pierre, même placette qu'en 2020.;5;Recouvrement supérieur à 75%;5;Recouvrement supérieur à 75%;;NON;NON;
195;LAM93;2,23268;48,5165;592326;2390870;643332;6824310;;;;;;;P;;91132;CHAMARANDE;;67871;932645;39921;1535;O;Pôle Nord-Ouest;V;27/06/2022;2022;actif;932635;78S01;BELOUARD Thierry;10;180;Châtaignier;4;Très forte;0;Absence ou trace;E;E;1;36;13;Pente, gros blocs de pierre, même placette qu'en 2020.;5;Recouvrement supérieur à 75%;5;Recouvrement supérieur à 75%;;NON;NON;
