uuid;DATE;REC_SUP2;REC_LIGN;G;MORTAL01;MRAMIF01;MORTAL02;MRAMIF02;MORTAL03;MRAMIF03;MORTAL04;MRAMIF04;MORTAL05;MRAMIF05;MORTAL06;MRAMIF06;MORTAL07;MRAMIF07;MORTAL08;MRAMIF08;MORTAL09;MRAMIF09;MORTAL10;MRAMIF10;MORTAL11;MRAMIF11;MORTAL12;MRAMIF12;MORTAL13;MRAMIF13;MORTAL14;MRAMIF14;MORTAL15;MRAMIF15;MORTAL16;MRAMIF16;MORTAL17;MRAMIF17;MORTAL18;MRAMIF18;MORTAL19;MRAMIF19;MORTAL20;MRAMIF20;R_MAX;DIST_MAX;NOTATEUR;geometry;filename
45fb4d1b-841b-43fa-a900-ff0efba369cd;13-07-2022;5;5;8;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;2.0;1.0;2.0;0.0;2.0;1.0;3.0;0.0;1.0;0.0;2.0;1.0;2.0;2.0;3.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;1.0;20;20;DSF_77C03;POINT (679614.6918326985 6828402.173553655);epicollect
a86293eb-0d9c-4de4-beec-dc0d4b74e5df;13-07-2022;5;5;13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;5.0;5.0;0.0;2.0;5.0;5.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20;11;DSF_77C03;POINT (678674.4114232577 6827529.988634252);epicollect
bbd84f05-a15e-4b35-932d-c5dd54acf73f;12-07-2022;5;5;15;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;3.0;0.0;1.0;5.0;4.0;0.0;0.0;2.0;2.0;5.0;4.0;0.0;1.0;1.0;1.0;4.0;3.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;20;12;DSF_77C03;POINT (697018.3551372587 6800983.935304315);epicollect
1332a1fd-a583-48a0-94e9-ec30aea79b7b;12-07-2022;4;5;17;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;20;20;DSF_78C03;POINT (613075.2834352814 6886475.365234343);epicollect
be2d02c7-da2a-4d8f-8c7f-ba552a7be36d;12-07-2022;5;5;20;2.0;3.0;5.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;20;16;DSF_78C03;POINT (613126.1434636039 6886150.030342483);epicollect
0605f19f-596e-45ca-a64f-6188a342853b;12-07-2022;5;5;26;0.0;1.0;4.0;2.0;2.0;1.0;0.0;2.0;1.0;2.0;0.0;2.0;0.0;2.0;0.0;1.0;5.0;5.0;1.0;1.0;0.0;1.0;1.0;2.0;0.0;1.0;0.0;2.0;1.0;2.0;1.0;2.0;3.0;2.0;1.0;1.0;3.0;1.0;0.0;1.0;20;14;DSF_77C03;POINT (687694.4655198427 6803811.455406446);epicollect
a242c39e-0485-43e9-ab95-79e9bd25cb8f;12-07-2022;5;5;18;0.0;1.0;0.0;1.0;0.0;3.0;3.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;20;16;DSF_77C03;POINT (687708.055921533 6803895.56573691);epicollect
7eecb2de-2a11-43d3-80b7-f8ffaa280440;06-07-2022;5;5;13;0.0;1.0;5.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;4.0;3.0;0.0;3.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;5.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;40;14;DSF_78C03;POINT (619877.5283686523 6870234.9085633);epicollect
7ad82031-f9b5-4827-bc7b-1157ed31cf5a;06-07-2022;4;5;10;1.0;2.0;3.0;3.0;1.0;3.0;0.0;1.0;1.0;2.0;1.0;3.0;5.0;0.0;3.0;3.0;0.0;3.0;2.0;3.0;2.0;3.0;0.0;2.0;1.0;2.0;4.0;3.0;0.0;2.0;0.0;1.0;2.0;2.0;0.0;2.0;0.0;3.0;0.0;2.0;40;24;DSF_78C03;POINT (620355.0584247983 6871402.504320185);epicollect
91e706c1-3209-4087-90b8-b167e7099491;05-07-2022;4;5;26;5.0;0.0;0.0;1.0;0.0;2.0;1.0;2.0;0.0;2.0;3.0;4.0;5.0;0.0;0.0;1.0;0.0;3.0;0.0;3.0;0.0;2.0;2.0;2.0;5.0;0.0;5.0;0.0;0.0;1.0;0.0;2.0;0.0;3.0;0.0;3.0;3.0;3.0;2.0;2.0;30;16;DSF_78C03;POINT (632430.1052634382 6828982.632854731);epicollect
